Freq.	I(R1)	abs(V(n001))/abs(I(R1))
7.41310241300914e+004	1.98580156866056e-001,-1.67677776560395e-002	5.01789327776844e+001,0.00000000000000e+000
7.58577575029180e+004	1.85053574591189e-001,-5.25846864568640e-002	5.19805183273476e+001,0.00000000000000e+000
7.76247116628688e+004	1.62033777134736e-001,-7.84293463714431e-002	5.55503202661780e+001,0.00000000000000e+000
7.94328234724277e+004	1.36230223464665e-001,-9.32031437114908e-002	6.05832560165768e+001,0.00000000000000e+000
8.12830516164095e+004	1.12193065510860e-001,-9.92516014488487e-002	6.67584643091604e+001,0.00000000000000e+000
8.31763771102667e+004	9.18023768992386e-002,-9.96615862473316e-002	7.38010230430471e+001,0.00000000000000e+000
8.51138038202372e+004	7.52786086198485e-002,-9.68945390608627e-002	8.14992389703076e+001,0.00000000000000e+000
8.70963589956076e+004	6.21452100053042e-002,-9.25568274012727e-002	8.96985690992476e+001,0.00000000000000e+000
8.91250938133741e+004	5.17571699947541e-002,-8.75923645561955e-002	9.82888116258333e+001,0.00000000000000e+000
9.12010839355905e+004	4.35165059729784e-002,-8.25193361579985e-002	1.07191990645058e+002,0.00000000000000e+000
9.33254300796986e+004	3.69337862631804e-002,-7.76047998045957e-002	1.16352958160398e+002,0.00000000000000e+000
9.54992586021431e+004	3.16287899248456e-002,-7.29743182238084e-002	1.25732646430978e+002,0.00000000000000e+000
9.77237220955805e+004	2.73125007156079e-002,-6.86761836444309e-002	1.35303369539241e+002,0.00000000000000e+000
9.99999999999995e+004	2.37667440735285e-002,-6.47178153662042e-002	1.45045580420809e+002,0.00000000000000e+000
1.02329299228075e+005	2.08266798349549e-002,-6.10860218789047e-002	1.54945627341208e+002,0.00000000000000e+000
1.04712854805089e+005	1.83671338334779e-002,-5.77581309806048e-002	1.64994189351464e+002,0.00000000000000e+000
1.07151930523760e+005	1.62923599150467e-002,-5.47080051114242e-002	1.75185173375839e+002,0.00000000000000e+000
1.09647819614318e+005	1.45285064030395e-002,-5.19092060182140e-002	1.85514927305174e+002,0.00000000000000e+000
1.12201845430196e+005	1.30181051483579e-002,-4.93365776745682e-002	1.95981671571498e+002,0.00000000000000e+000
1.14815362149688e+005	1.17160379560810e-002,-4.69669584134775e-002	2.06585083522034e+002,0.00000000000000e+000
1.17489755493952e+005	1.05865720348472e-002,-4.47794211003135e-002	2.17325989958604e+002,0.00000000000000e+000
1.20226443461741e+005	9.60116759235956e-003,-4.27552651194335e-002	2.28206137186766e+002,0.00000000000000e+000
1.23026877081237e+005	8.73684454636315e-003,-4.08778853411727e-002	2.39228017277904e+002,0.00000000000000e+000
1.25892541179416e+005	7.97495612677868e-003,-3.91325874552804e-002	2.50394735575758e+002,0.00000000000000e+000
1.28824955169313e+005	7.30026050494858e-003,-3.75063874172333e-002	2.61709908804503e+002,0.00000000000000e+000
1.31825673855640e+005	6.70021230055308e-003,-3.59878148117517e-002	2.73177586125285e+002,0.00000000000000e+000
1.34896288259165e+005	6.16441755441424e-003,-3.45667298123586e-002	2.84802187577873e+002,0.00000000000000e+000
1.38038426460288e+005	5.68421117871453e-003,-3.32341577692093e-002	2.96588455820811e+002,0.00000000000000e+000
1.41253754462275e+005	5.25232688963289e-003,-3.19821423810794e-002	3.08541418138249e+002,0.00000000000000e+000
1.44543977074592e+005	4.86263750923335e-003,-3.08036168028924e-002	3.20666356442753e+002,0.00000000000000e+000
1.47910838816820e+005	4.50994921161685e-003,-2.96922912722469e-002	3.32968783558168e+002,0.00000000000000e+000
1.51356124843620e+005	4.18983742213600e-003,-2.86425555387217e-002	3.45454424474725e+002,0.00000000000000e+000
1.54881661891247e+005	3.89851510423039e-003,-2.76493943347702e-002	3.58129201571603e+002,0.00000000000000e+000
1.58489319246110e+005	3.63272639918117e-003,-2.67083142135542e-002	3.70999223029083e+002,0.00000000000000e+000
1.62181009735892e+005	3.38966024050079e-003,-2.58152802267248e-002	3.84070773823716e+002,0.00000000000000e+000
1.65958690743755e+005	3.16687980331262e-003,-2.49666610844948e-002	3.97350308830332e+002,0.00000000000000e+000
1.69824365246173e+005	2.96226458169494e-003,-2.41591816100147e-002	4.10844447654663e+002,0.00000000000000e+000
1.73780082874937e+005	2.77396259388110e-003,-2.33898814592016e-002	4.24559970897498e+002,0.00000000000000e+000
1.77827941003891e+005	2.60035075453088e-003,-2.26560792209198e-002	4.38503817611335e+002,0.00000000000000e+000
1.81970085860997e+005	2.44000186733965e-003,-2.19553411392999e-002	4.52683083757403e+002,0.00000000000000e+000
1.86208713666286e+005	2.29165701106128e-003,-2.12854538103183e-002	4.67105021507918e+002,0.00000000000000e+000
1.90546071796324e+005	2.15420234048847e-003,-2.06444002997641e-002	4.81777039267691e+002,0.00000000000000e+000
1.94984459975803e+005	2.02664951806486e-003,-2.00303392110058e-002	4.96706702312542e+002,0.00000000000000e+000
1.99526231496887e+005	1.90811914430680e-003,-1.94415863002112e-002	5.11901733960656e+002,0.00000000000000e+000
2.04173794466952e+005	1.79782667564425e-003,-1.88765982955170e-002	5.27370017208033e+002,0.00000000000000e+000
2.08929613085403e+005	1.69507041387422e-003,-1.83339586265706e-002	5.43119596771377e+002,0.00000000000000e+000
2.13796208950222e+005	1.59922122765373e-003,-1.78123648132075e-002	5.59158681491645e+002,0.00000000000000e+000
2.18776162394954e+005	1.50971372754419e-003,-1.73106172979350e-002	5.75495647059587e+002,0.00000000000000e+000
2.23872113856833e+005	1.42603866528718e-003,-1.68276095373633e-002	5.92139039031203e+002,0.00000000000000e+000
2.29086765276776e+005	1.34773636773938e-003,-1.63623191936013e-002	6.09097576106555e+002,0.00000000000000e+000
2.34422881531991e+005	1.27439104816282e-003,-1.59138002886389e-002	6.26380153649879e+002,0.00000000000000e+000
2.39883291901948e+005	1.20562586386806e-003,-1.54811762034730e-002	6.43995847432710e+002,0.00000000000000e+000
2.45470891568501e+005	1.14109861072948e-003,-1.50636334197076e-002	6.61953917584876e+002,0.00000000000000e+000
2.51188643150956e+005	1.08049796277005e-003,-1.46604159150089e-002	6.80263812740879e+002,0.00000000000000e+000
2.57039578276885e+005	1.02354017958471e-003,-1.42708201354681e-002	6.98935174371350e+002,0.00000000000000e+000
2.63026799189536e+005	9.69966216427182e-004,-1.38941904779356e-002	7.17977841291202e+002,0.00000000000000e+000
2.69153480392690e+005	9.19539181790988e-004,-1.35299152239836e-002	7.37401854337649e+002,0.00000000000000e+000
2.75422870333815e+005	8.72042095649097e-004,-1.31774228745463e-002	7.57217461212655e+002,0.00000000000000e+000
2.81838293126444e+005	8.27275908478368e-004,-1.28361788406625e-002	7.77435121485506e+002,0.00000000000000e+000
2.88403150312659e+005	7.85057747028839e-004,-1.25056824512464e-002	7.98065511752233e+002,0.00000000000000e+000
2.95120922666637e+005	7.45219357701538e-004,-1.21854642435732e-002	8.19119530949438e+002,0.00000000000000e+000
3.01995172040200e+005	7.07605722531458e-004,-1.18750835062937e-002	8.40608305820875e+002,0.00000000000000e+000
3.09029543251357e+005	6.72073826265930e-004,-1.15741260483759e-002	8.62543196535730e+002,0.00000000000000e+000
3.16227766016836e+005	6.38491555989632e-004,-1.12822021704856e-002	8.84935802458180e+002,0.00000000000000e+000
